group,function,value,sample_time_nanos,iteration_count
[f301ee6] Fid::rank(N) 1000000 times,,65536,123846813.0,2
[f301ee6] Fid::rank(N) 1000000 times,,65536,248268990.0,4
[f301ee6] Fid::rank(N) 1000000 times,,65536,371444076.0,6
[f301ee6] Fid::rank(N) 1000000 times,,65536,495376049.0,8
[f301ee6] Fid::rank(N) 1000000 times,,65536,620823205.0,10
[f301ee6] Fid::rank(N) 1000000 times,,65536,740350758.0,12
[f301ee6] Fid::rank(N) 1000000 times,,65536,864557796.0,14
[f301ee6] Fid::rank(N) 1000000 times,,65536,987777293.0,16
[f301ee6] Fid::rank(N) 1000000 times,,65536,1107556405.0,18
[f301ee6] Fid::rank(N) 1000000 times,,65536,1234251684.0,20
