group,function,value,sample_time_nanos,iteration_count
[f301ee6] Fid::rank0(N) 1000000 times,,262144,125658358.0,2
[f301ee6] Fid::rank0(N) 1000000 times,,262144,251744818.0,4
[f301ee6] Fid::rank0(N) 1000000 times,,262144,374738193.0,6
[f301ee6] Fid::rank0(N) 1000000 times,,262144,499327652.0,8
[f301ee6] Fid::rank0(N) 1000000 times,,262144,629067052.0,10
[f301ee6] Fid::rank0(N) 1000000 times,,262144,750752719.0,12
[f301ee6] Fid::rank0(N) 1000000 times,,262144,882623563.0,14
[f301ee6] Fid::rank0(N) 1000000 times,,262144,1002564355.0,16
[f301ee6] Fid::rank0(N) 1000000 times,,262144,1130131679.0,18
[f301ee6] Fid::rank0(N) 1000000 times,,262144,1251870207.0,20
