group,function,value,sample_time_nanos,iteration_count
[f301ee6] Fid::select(N) 1000 times,,131072,64234724.0,54
[f301ee6] Fid::select(N) 1000 times,,131072,131326168.0,108
[f301ee6] Fid::select(N) 1000 times,,131072,194943662.0,162
[f301ee6] Fid::select(N) 1000 times,,131072,255360076.0,216
[f301ee6] Fid::select(N) 1000 times,,131072,321672644.0,270
[f301ee6] Fid::select(N) 1000 times,,131072,388091879.0,324
[f301ee6] Fid::select(N) 1000 times,,131072,453472964.0,378
[f301ee6] Fid::select(N) 1000 times,,131072,514544607.0,432
[f301ee6] Fid::select(N) 1000 times,,131072,586485005.0,486
[f301ee6] Fid::select(N) 1000 times,,131072,647585138.0,540
